index,MovieID,Title,MPAA Rating,Budget,Gross,Release Date,Genre,Runtime,Rating,Rating Count,release date_DD,release month_MM
182,183,Rush Hour,PG-13,33000000,244386864,18-09-1998,Comedy,98,7,224449,18,9
183,184,Stepmom,PG-13,50000000,159700000,25-12-1998,Drama,124,6.8,56910,25,12
184,185,Patch Adams,PG-13,50000000,202292902,25-12-1998,Drama,115,6.8,97429,25,12
185,186,The Truman Show,PG,60000000,264118201,04-06-1998,Comedy,103,8.1,859224,4,6
186,187,You've Got Mail,PG,65000000,250821495,17-12-1998,Romance,119,6.6,180707,17,12
187,188,Saving Private Ryan,R,70000000,481840909,24-07-1998,War,169,8.6,1140752,24,7
188,189,The Prince of Egypt,PG,70000000,218613188,15-12-1998,Animation,99,7.1,110340,15,12
189,190,Doctor Dolittle,PG-13,71000000,294456605,22-06-1998,Family,85,5.4,87146,22,6
190,191,Deep Impact,PG-13,75000000,140464664,08-05-1998,Drama,120,6.2,153606,8,5
191,192,Mulan,G,90000000,304320254,18-06-1998,Animation,88,7.6,229669,18,6
192,193,Enemy of the State,R,90000000,250649836,20-11-1998,Thriller,132,7.3,216789,20,11
193,194,The Mask of Zorro,PG-13,95000000,250288523,16-07-1998,Action,136,6.7,159093,16,7
194,195,A Bug's Life,G,120000000,363258859,25-11-1998,Animation,95,7.2,251436,25,11
195,196,Godzilla,PG-13,130000000,379014294,20-05-1998,Thriller,139,5.4,174600,20,5
196,197,Armageddon,PG-13,140000000,553799566,01-07-1998,Science Fiction,151,6.7,376785,1,7
197,198,Lethal Weapon 4,R,140000000,285444603,10-07-1998,Comedy,127,6.6,145685,10,7
198,199,The Blair Witch Project,R,60000,248000000,14-07-1999,Horror,81,6.5,220304,14,7
199,200,American Pie,R,11000000,235483004,09-07-1999,Comedy,95,7,357670,9,7
200,201,American Beauty,R,15000000,356296601,15-09-1999,Drama,122,8.3,1007472,15,9
201,202,Big Daddy,PG-13,34200000,234801895,25-06-1999,Comedy,93,6.4,188280,25,6
202,203,The Sixth Sense,PG-13,40000000,672806292,06-08-1999,Thriller,107,8.1,860079,6,8
203,204,Notting Hill,PG-13,42000000,363889678,13-05-1999,Romance,124,7.1,251006,13,5
204,205,The General's Daughter,R,60000000,149705852,18-06-1999,Thriller,116,6.3,49909,18,6
205,206,The Green Mile,R,60000000,284600000,10-12-1999,Fantasy,189,8.6,1046936,10,12
206,207,The Matrix,R,63000000,463517383,30-03-1999,Science Fiction,136,8.7,1550148,30,3
207,208,Runaway Bride,PG,70000000,309457509,30-07-1999,Romance,116,5.5,88557,30,7
208,209,Double Jeopardy,R,70000000,177841558,24-09-1999,Crime,105,6.5,67389,24,9
209,210,Analyze This,R,80000000,176885658,05-03-1999,Comedy,103,6.7,139603,5,3
210,211,The Mummy,PG-13,80000000,415885488,16-04-1999,Adventure,124,7,372009,16,4
211,212,Toy Story 2,G,90000000,497366869,30-10-1999,Animation,92,7.9,489299,30,10
212,213,Star Wars: Episode I - The Phantom Menace,PG,115000000,924317558,19-05-1999,Science Fiction,136,6.5,667362,19,5
213,214,Stuart Little,PG,133000000,300135367,17-12-1999,Family,84,5.9,117811,17,12
214,215,The World Is Not Enough,PG-13,135000000,361832400,08-11-1999,Adventure,128,7.4,545440,8,11
215,216,Tarzan,PG,150000000,448000000,18-06-1999,Animation,88,7.3,187724,18,6
216,217,Wild Wild West,PG-13,170000000,222104681,29-06-1999,Western,106,4.9,146265,29,6
217,218,"Crouching Tiger, Hidden Dragon",PG-13,17000000,213525736,01-10-2000,Romance,120,7.8,242878,1,10
218,219,Scary Movie,R,19000000,278019771,07-07-2000,Comedy,88,6.2,219032,7,7
219,220,Big Momma's House,PG-13,30000000,173959438,31-05-2000,Crime,98,5.1,77180,31,5
220,221,Remember the Titans,PG,30000000,136706683,29-09-2000,Drama,113,7.8,186997,29,9
221,222,Chicken Run,G,45000000,224834564,21-06-2000,Comedy,84,7,167036,21,6
222,223,Traffic,R,48000000,207515725,27-12-2000,Drama,147,7.6,188060,27,12
223,224,Erin Brockovich,R,52000000,256271286,17-03-2000,Drama,131,7.3,161958,17,3
224,225,Meet the Parents,PG-13,55000000,330444045,06-10-2000,Comedy,108,7,296549,6,10
225,226,What Women Want,PG-13,70000000,374111707,15-12-2000,Comedy,127,6.4,182948,15,12
226,227,X-Men,PG-13,75000000,296339527,13-07-2000,Adventure,104,7.4,545440,13,7
227,228,Nutty Professor II: The Klumps,PG-13,84000000,123307945,27-07-2000,Comedy,106,4.4,46222,27,7
228,229,Cast Away,PG-13,90000000,429632142,22-12-2000,Drama,143,7.8,482899,22,12
229,230,Charlie's Angels,PG-13,92000000,264105545,02-11-2000,Comedy,98,5.5,166141,2,11
230,231,What Lies Beneath,PG-13,100000000,155464351,21-07-2000,Drama,130,6.6,111917,21,7
231,232,Gladiator,R,103000000,457640427,01-05-2000,Action,155,8.5,1243670,1,5
232,233,The Patriot,R,110000000,215294342,28-06-2000,History,165,7.2,241120,28,6
233,234,The Perfect Storm,PG-13,120000000,325756637,15-03-2000,Drama,130,6.4,148948,15,3
234,235,How the Grinch Stole Christmas,PG,123000000,345141403,17-11-2000,Family,104,6.1,186192,17,11
235,236,Mission: Impossible II,PG-13,125000000,546388105,24-05-2000,Adventure,123,6.1,296109,24,5
236,237,Dinosaur,PG,127500000,354248063,19-05-2000,Animation,82,6.5,48922,19,5
237,238,American Pie 2,R,30000000,287553595,10-08-2001,Comedy,108,6.4,228537,10,8
238,239,Spy Kids,PG,35000000,147934180,18-03-2001,Family,88,5.4,101720,18,3
239,240,The Princess Diaries,G,37000000,165335153,03-08-2001,Romance,115,6.3,118754,3,8
240,241,The Fast and the Furious,PG-13,38000000,207283925,22-06-2001,Crime,106,6.8,327057,22,6
241,242,Shrek,PG,60000000,484409218,16-05-2001,Animation,90,7.8,574978,16,5
242,243,A Beautiful Mind,PG-13,60000000,313542341,11-12-2001,Drama,135,8.2,788060,11,12
243,244,Vanilla Sky,R,68000000,203388341,10-12-2001,Mystery,136,6.9,237238,10,12
244,245,Dr. Dolittle 2,PG,70000000,176104344,22-06-2001,Comedy,87,4.7,39656,22,6
245,246,Ocean's Eleven,PG-13,85000000,450717150,07-12-2001,Thriller,116,7.8,482386,7,12
246,247,Hannibal,PG-13,87000000,351692268,08-02-2001,Thriller,131,6.8,240535,8,2
247,248,Rush Hour 2,PG-13,90000000,347325802,03-08-2001,Comedy,90,6.6,188755,3,8
248,249,Black Hawk Down,R,92000000,172989651,28-12-2001,War,144,7.7,345280,28,12
249,250,Jurassic Park III,PG-13,93000000,368780809,18-07-2001,Adventure,92,5.9,280110,18,7
250,251,The Lord of the Rings: The Fellowship of the Ring,PG-13,93000000,871368364,18-12-2001,Fantasy,178,8.8,1545228,18,12
251,252,The Mummy Returns,PG-13,98000000,433013274,28-04-2001,Adventure,130,6.3,287749,28,4
252,253,Planet of the Apes,PG-13,100000000,362211740,25-07-2001,Science Fiction,119,5.7,203564,25,7
253,254,Lara Croft: Tomb Raider,PG-13,115000000,274703340,11-06-2001,Adventure,100,5.8,188607,11,6
254,255,"Monsters, Inc.",G,115000000,562816256,01-11-2001,Comedy,92,8,758349,1,11
255,256,Harry Potter and the Sorcerer's Stone,PG,125000000,975100000,04-11-2001,Fantasy,152,7.6,583224,4,11
256,257,Pearl Harbor,PG-13,140000000,449220945,21-05-2001,War,183,6.2,297066,21,5
257,258,My Big Fat Greek Wedding,PG,5000000,368744044,22-02-2002,Comedy,95,6.5,114907,22,2
258,259,Sweet Home Alabama,PG-13,30000000,180622424,26-09-2002,Romance,108,6.2,96978,26,9
259,260,The Ring,PG-13,48000000,249348933,18-10-2002,Horror,115,7.1,303397,18,10
260,261,Mr. Deeds,PG-13,50000000,171269535,28-06-2002,Comedy,96,5.8,129182,28,6
261,262,Ice Age,PG,59000000,383257136,10-03-2002,Animation,81,7.5,411963,10,3
262,263,The Bourne Identity,PG-13,60000000,214034224,14-06-2002,Action,119,7.9,481712,14,6
263,264,Austin Powers in Goldmember,PG-13,63000000,296655431,26-07-2002,Science Fiction,94,6.2,186825,26,7
264,265,The Santa Clause 2,G,65000000,172855065,31-10-2002,Family,104,5.6,45755,31,10
265,266,xXx,PG-13,70000000,277448382,09-08-2002,Adventure,124,5.9,167855,9,8
266,267,Signs,PG-13,72000000,408247917,02-08-2002,Science Fiction,106,6.7,321975,2,8
267,268,The Lord of the Rings: The Two Towers,PG-13,79000000,926287400,18-12-2002,Fantasy,179,8.7,1383826,18,12
268,269,Lilo & Stitch,PG,80000000,145771527,21-06-2002,Animation,85,6.7,351725,21,6
269,270,Scooby-Doo,PG,84000000,275650703,14-06-2002,Mystery,88,5,90185,14,6
270,271,Harry Potter and the Chamber of Secrets,PG,100000000,876688482,13-11-2002,Fantasy,161,7.4,505027,13,11
271,272,Minority Report,PG-13,102000000,358372926,20-06-2002,Science Fiction,145,7.6,477892,20,6
272,273,Star Wars: Episode II - Attack of the Clones,PG-13,120000000,649398328,15-05-2002,Science Fiction,142,6.6,587304,15,5
273,274,Spider-Man,PG-13,139000000,821708551,01-05-2002,Fantasy,121,7.3,652224,1,5
274,275,Men in Black 2,PG-13,140000000,441800000,03-07-2002,Action,88,7.4,489354,3,7
275,276,Die Another Day,PG-13,140000000,431971116,17-11-2002,Adventure,133,6.1,194441,17,11
276,277,Bringing Down the House,PG-13,20000000,132675402,07-03-2003,Comedy,105,5.6,33619,7,3
277,278,Elf,PG,32000000,173398518,09-10-2003,Comedy,97,6.9,194453,9,10
278,279,Spy Kids 3-D: Game Over,PG,38000000,197011982,25-07-2003,Family,84,4.2,50809,25,7
279,280,Cheaper by the Dozen,PG,40000000,190212113,24-12-2003,Comedy,98,5.8,88445,24,12
280,281,Anger Management,PG-13,75000000,195745823,11-04-2003,Comedy,106,6.2,194353,11,4
281,282,2 Fast 2 Furious,PG-13,76000000,236350661,05-06-2003,Thriller,107,5.9,236645,5,6
282,283,Bruce Almighty,PG-13,80000000,484572835,23-05-2003,Comedy,101,6.7,351725,23,5
283,284,S.W.A.T.,PG-13,80000000,116643346,08-08-2003,Crime,117,6,132856,8,8
284,285,Something's Gotta Give,PG-13,80000000,266728738,12-12-2003,Drama,128,6.7,105201,12,12
285,286,Seabiscuit,PG-13,87000000,148336445,22-07-2003,Drama,141,7.3,63813,22,7
286,287,Finding Nemo,G,94000000,940335536,30-05-2003,Animation,100,8.1,887773,30,5
287,288,The Lord of the Rings: The Return of the King,PG-13,94000000,1118888979,01-12-2003,Fantasy,201,8.9,1529953,1,12
288,289,X2: X-Men United,PG-13,110000000,407700000,02-05-2003,Action,133,7.4,489354,2,5
289,290,Bad Boys II,R,130000000,273339556,18-07-2003,Comedy,147,6.6,210294,18,7
290,291,Hulk,PG-13,137000000,245360480,19-06-2003,Science Fiction,138,5.6,242722,19,6
291,292,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,140000000,655011224,09-07-2003,Adventure,143,8,976208,9,7
292,293,The Last Samurai,R,140000000,456758981,05-12-2003,War,154,7.7,376039,5,12
293,294,The Matrix Reloaded,R,150000000,738599701,15-05-2003,Science Fiction,138,7.2,487328,15,5
294,295,The Matrix Revolutions,R,150000000,424988211,05-11-2003,Science Fiction,129,6.7,423134,5,11
295,296,Terminator 3: Rise of the Machines,R,200000000,435000000,02-07-2003,Thriller,109,6.3,357127,2,7
296,297,Fahrenheit 9/11,R,6000000,119114517,25-06-2004,Drama,122,7.5,123244,25,6
297,298,DodgeBall: A True Underdog Story,PG-13,20000000,167722310,18-06-2004,Comedy,92,6.1,232864,18,6
298,299,The Passion of the Christ,R,30000000,611899420,25-02-2004,Drama,127,7.1,203486,25,2
299,300,The Village,PG-13,60000000,256697520,30-07-2004,Drama,108,6.5,231358,30,7
300,301,50 First Dates,PG-13,75000000,196482882,13-02-2004,Comedy,99,6.8,308950,13,2
301,302,The Bourne Supremacy,PG-13,75000000,288500217,23-07-2004,Action,108,7.7,412796,23,7
302,303,Shark Tale,PG,75000000,367275019,20-09-2004,Animation,90,6,157494,20,9
303,304,Meet the Fockers,PG-13,80000000,516642939,22-12-2004,Comedy,115,6.3,241144,22,12
304,305,The Incredibles,PG,92000000,631442092,05-11-2004,Animation,115,8,617102,5,11
305,306,National Treasure,PG,100000000,347451894,19-11-2004,Mystery,131,6.8,289084,19,11
306,307,Ocean's Twelve,PG-13,110000000,362744280,09-12-2004,Thriller,125,6.5,337180,9,12
307,308,"I, Robot",PG-13,120000000,347234916,15-07-2004,Science Fiction,115,7.1,472748,15,7
308,309,The Day After Tomorrow,PG-13,125000000,544272402,26-05-2004,Action,124,6.4,393340,26,5
309,310,Harry Potter and the Prisoner of Azkaban,PG,130000000,789804554,31-05-2004,Fantasy,141,7.9,501648,31,5
310,311,Lemony Snicket's A Series of Unfortunate Events,PG,140000000,209073645,16-12-2004,Comedy,108,6.8,187021,16,12
311,312,Shrek 2,PG,150000000,919838758,19-05-2004,Animation,93,7.2,391295,19,5
312,313,Van Helsing,PG-13,160000000,300257475,05-05-2004,Horror,132,6.1,232864,5,5
313,314,The Polar Express,G,165000000,305875730,10-11-2004,Animation,100,6.6,158237,10,11
314,315,Troy,R,175000000,497409852,13-05-2004,War,163,7.2,460689,13,5
315,316,Spider-Man 2,PG-13,200000000,783766341,25-06-2004,Action,127,7.3,511447,25,6
316,317,The 40 Year Old Virgin,R,26000000,109449237,11-08-2005,Comedy,116,7.7,500448,11,8
317,318,Walk the Line,PG-13,28000000,186438883,13-09-2005,Drama,136,7.8,218317,13,9
318,319,Wedding Crashers,R,40000000,285176741,14-07-2005,Comedy,119,6.9,318291,14,7
319,320,Flightplan,PG-13,55000000,223387299,22-09-2005,Thriller,98,6.3,145570,22,9
320,321,The Pacifier,PG,56000000,113006880,04-03-2005,Comedy,95,5.6,82064,4,3
321,322,Hitch,PG-13,70000000,368100420,10-02-2005,Comedy,118,6.6,282005,10,2
322,323,Robots,PG,75000000,260696994,10-03-2005,Animation,91,6.3,124743,10,3
323,324,Madagascar,PG,75000000,532680671,25-05-2005,Animation,86,6.9,340576,25,5
324,325,The Longest Yard,PG-13,82000000,190320568,19-05-2005,Drama,113,6.4,153016,19,5
